,Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
0,M. Hamilton,"FB,W",,,North Carolina FC,22.0,Canada,"Canada, Jamaica",,107000.0,6.29,6.7656600372798845,0.4756600372798845,,,,,,,,,,,,,,
1,T. Freitas,"FB,CM",,New England,New England II,21.0,United States,United States,,0.0,6.5,6.893340007218483,0.3933400072184829,,,,,,,,,,,,,,
2,C. McCamy,"FB,CB,CM",,Northwestern Wildcats,North Carolina FC,18.0,United States,United States,,0.0,6.23,6.590634863608615,0.3606348636086141,,,,,,,,,,,,,,
3,D. Benton,"FB,CB",,North Texas,North Texas,21.0,United States,United States,,0.0,6.64,6.960916954770929,0.3209169547709294,,,,,,,,,,,,,,
4,R. Lomeli,FB,,Forward Madison,Forward Madison,24.0,United States,United States,unknown,0.0,6.73,7.023590624589673,0.2935906245896724,,,,,,,,,,,,,,
0,N. Higgins,CB,,Toronto II,Toronto II,23.0,United States,United States,,107000.0,6.51,6.929381192727951,0.4193811927279514,,,,,,,,,,,,,,
1,C. McCamy,"FB,CB,CM",,Northwestern Wildcats,North Carolina FC,18.0,United States,United States,,0.0,6.23,6.585019325321465,0.3550193253214644,,,,,,,,,,,,,,
2,Alisson,"CB,CM",,North Texas,North Texas,22.0,Brazil,Brazil,,107000.0,6.61,6.880413627278695,0.2704136272786943,,,,,,,,,,,,,,
3,E. Hardin,CB,,Inter Miami II,Fort Lauderdale,19.0,United States,United States,,133750.0,6.7,6.952270843529817,0.2522708435298169,,,,,,,,,,,,,,
4,L. Rodríguez,CB,,,Tormenta,26.0,Colombia,Colombia,right,107000.0,6.63,6.873584064042372,0.2435840640423725,,,,,,,,,,,,,,
0,G. Lavergne,CM,2021-11-30,York United FC,Tucson,22.0,United States,United States,,80250.0,6.3,6.9275471731073885,0.6275471731073887,,,,,,,,,,,,,,
1,N. Ovalle,CM,,Toronto II,Toronto II,21.0,Chile,Chile,,0.0,6.35,6.9555492564407215,0.6055492564407219,,,,,,,,,,,,,,
2,C. McCamy,"FB,CB,CM",,Northwestern Wildcats,North Carolina FC,18.0,United States,United States,,0.0,6.23,6.807335682201819,0.5773356822018183,,,,,,,,,,,,,,
3,F. Raggio,CM,,Fort Lauderdale,Fort Lauderdale,19.0,United States,United States,,0.0,6.37,6.836182363425939,0.466182363425939,,,,,,,,,,,,,,
4,C. McCall,"CM,W",,,Tormenta,25.0,Scotland,Scotland,,26750.0,6.3,6.756194753591881,0.4561947535918813,,,,,,,,,,,,,,
0,D. Gallegos,AM,,VCU Rams,Richmond Kickers,18.0,United States,United States,,0.0,4.7,5.532078954485058,0.8320789544850582,,,,,,,,,,,,,,
1,D. Steedman,"CM,AM",,,North Carolina FC,21.0,United States,United States,,80250.0,6.6,6.899531565029054,0.2995315650290546,,,,,,,,,,,,,,
2,N. Brown,"AM,W",,Greenville Triumph,Greenville Triumph,,United States,United States,,0.0,6.56,6.8433847504129055,0.2833847504129059,55000.0,,55000.0,,2021-09-01,2022-11-30,2021-12-15,Tavares Agency LLC,Nico Brown,Jamaica-United States,23.0,Greenville Triumph SC,attack - Left Winger,https://www.transfermarkt.us/nico-brown/profil/spieler/866253
3,M. Vang,"CM,AM,CF",,Columbus Crew II,Forward Madison,21.0,United States,United States,right,133750.0,6.62,6.897863983083629,0.2778639830836287,,,,,,,,,,,,,,
4,C. Frame,"AM,W",,North Carolina FC,North Carolina FC,19.0,United States,United States,unknown,107000.0,6.55,6.802973914988405,0.2529739149884049,110000.0,,110000.0,,2021-09-07,2022-11-30,,,Cole Frame,United States,19.0,North Carolina FC,attack - Right Winger,https://www.transfermarkt.us/cole-frame/profil/spieler/876377
0,M. Hamilton,"FB,W",,,North Carolina FC,22.0,Canada,"Canada, Jamaica",,107000.0,6.29,6.674053598688728,0.3840535986887277,,,,,,,,,,,,,,
1,N. Brown,"AM,W",,Greenville Triumph,Greenville Triumph,,United States,United States,,0.0,6.56,6.88228755661642,0.3222875566164207,55000.0,,55000.0,,2021-09-01,2022-11-30,2021-12-15,Tavares Agency LLC,Nico Brown,Jamaica-United States,23,Greenville Triumph SC,attack - Left Winger,https://www.transfermarkt.us/nico-brown/profil/spieler/866253
2,A. Gavilanes,"AM,W",,Greenville Triumph,Greenville Triumph,22.0,United States,United States,,107000.0,6.81,7.086888253933863,0.2768882539338637,110000.0,,110000.0,,2021-04-20,2022-11-30,2021-12-15,,Allen Gavilanes,United States,22,Greenville Triumph SC,midfield - Left Midfield,https://www.transfermarkt.us/allen-gavilanes/profil/spieler/886066
3,C. McCall,"CM,W",,,Tormenta,25.0,Scotland,Scotland,,26750.0,6.3,6.5760400186922405,0.2760400186922407,,,,,,,,,,,,,,
4,M. Tsicoulias,"W,CF",,Virginia Cavaliers,New England II,18.0,United States,United States,,0.0,6.66,6.895108965447127,0.235108965447127,,,,,2021-08-01,,,,Michael Tsicoulias,United States,18 (19),New England Revolution II,attack - Centre-Forward,https://www.transfermarkt.us/michael-tsicoulias/profil/spieler/796428
0,J. Bolanos,"W,CF",,Richmond Kickers,Richmond Kickers,23.0,United States,United States,,160500.0,6.74,7.0663382766921226,0.3263382766921223,165000.0,,165000.0,,2020-01-27,2022-11-30,2022-02-02,Ascension Athletes,Jonathan Bolanos,United States,23,Richmond Kickers,midfield - Attacking Midfield,https://www.transfermarkt.us/jonathan-bolanos/profil/spieler/637080
1,B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,7.139344930917037,0.3193449309170368,165000.0,,165000.0,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
2,B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,7.139344930917037,0.3193449309170368,165000.0,,165000.0,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
3,B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,7.139344930917037,0.3193449309170368,165000.0,,165000.0,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
4,B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,7.139344930917037,0.3193449309170368,165000.0,,165000.0,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,19 (20),North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
0,K. Piedrahita,GK,,Union Omaha,Union Omaha,30.0,United States,United States,right,107000.0,6.5,6.945594523809519,0.4455945238095191,,,,,,,,,,,,,,
1,C. Patterson-Sewell,GK,,,Toronto II,34.0,United States,"United States, Australia",right,0.0,7.08,7.321558333333326,0.2415583333333257,,,,,,,,,,,,,,
2,S. Mora-Mora,GK,,Chattanooga Red Wolves,Chattanooga Red Wolves,23.0,United States,United States,,53500.0,6.59,6.776666904761903,0.1866669047619034,,,,,,,,,,,,,,
3,K. Silva,GK,2021-11-30,Toronto,Toronto II,23.0,United States,"United States, Brazil",left,80250.0,6.58,6.758843809523811,0.1788438095238111,,,,,,,,,,,,,,
4,T. Trilk,GK,,Chattanooga Red Wolves,Chattanooga Red Wolves,23.0,United States,United States,,107000.0,6.79,6.968419047619039,0.1784190476190392,,,,,,,,,,,,,,
